Sample,ABCA13,ABTB2,ADAM23,ADAMTS1,ADCY9,ADRA2C,APOC1,ARHGAP42,ARTN,ASS1,BAMBI,BMP2,CADM1,CAV2,CD70,CNRIP1,COBL,COL17A1,COL18A1,COL4A5,COL6A1,CPNE7,CRIP2,DLC1,DLX1,DPP4,DSEL,DSG2,EEF1A2,EFNA5,ENO2,F3,FAM171A1,FAT1,FEZ1,GAD1,GATA3,GNG11,GPC4,GPNMB,HES4,HEY1,IFI27,IGFBP4,IRX3,IRX5,JPH1,LAMA5,LGALSL,LIF,LSR,MCAM,MCOLN3,MECOM,MET,MPDZ,MT1E,NAV3,NEO1,NFIB,NKD2,NNMT,NT5E,PBX1,PCLO,PCOLCE2,PDE5A,PITX1,PKDCC,PRKD1,PROS1,PTGES,RAP1GAP,RBP7,RBPMS2,RGS16,RND3,ROBO1,RORA,S1PR5,SCG2,SDC2,SELENBP1,SERPINH1,SETBP1,SLC6A8,SLC7A2,SLFN5,SRPX,STXBP6,SYCP2,TGM2,TIMP3,TM4SF1,TMEM158,YAP1,ZNF703
DATA.683665,3.23915516,3.751367385,5.92819502,,3.203137364,3.199362799,3.889839289,3.152222802,3.028625454,4.506642381,7.933862631,6.109036338,3.136274352,3.20254205,8.876365958,3.576930607,3.246901445,3.047377086,3.610148407,3.039199649,3.779819564,5.041500867,4.059642704,3.638040306,3.113388525,6.813061747,3.234535817,5.945874721,3.881610784,7.085207002,5.918917715,3.295364419,3.835060371,9.361860481,3.213351434,3.288515585,5.513480322,4.96883802,,3.552389406,4.322487601,4.520547421,6.692723288,,5.172445486,4.322173391,4.32607068,3.087056267,3.715070119,3.165992339,5.732569396,3.545939566,3.674243957,3.230993825,3.455338749,3.476848806,4.313644392,2.951477084,3.289750716,4.295572027,4.043093222,2.956536418,4.588890545,3.334530112,3.162011687,3.971276365,3.358138369,3.848586131,3.28541714,2.875831869,3.971396304,3.982604922,3.327047556,3.102298563,2.90520105,6.175396943,6.880269042,3.86563577,6.802768095,3.274567961,3.320989201,5.600108435,3.207873834,5.221537216,4.61037535,5.968916056,3.054057728,4.20954638,3.258629621,3.648186887,3.199554011,3.198682931,3.207862657,3.269674281,4.718922488,3.259159039,3.118393142
DATA.683667,2.746976272,5.033553483,3.264235039,7.887032282,4.489535007,3.774600602,8.313024222,3.548289017,3.005223847,11.26896721,7.267596812,,6.385191107,3.288322804,3.626241888,,3.404202191,3.160474079,6.490188129,7.03721587,7.182578085,4.57700043,4.539281608,7.77148024,4.358374629,3.471626636,3.72186079,2.750743917,4.796912649,5.16387575,5.247169569,4.264302057,6.043793851,9.548142088,3.399313066,3.165817375,7.671068662,10.69368252,8.759495247,4.840574991,5.701962277,9.07746145,4.046940261,4.982149267,5.593807786,4.112220146,3.634902536,3.945845257,4.805001076,3.714353541,4.470361646,5.345771559,3.350680787,3.436140321,3.392621475,5.48897826,3.368722904,5.701737118,3.5086466,7.786771823,7.371474686,9.879637714,2.957775821,5.238397739,3.281680869,3.787364095,3.440113206,4.169206929,4.733742613,6.571685584,5.483709291,,3.636531263,3.702892802,4.10021239,3.750462379,5.808795806,,6.267282179,8.308536413,9.747814704,,7.472761477,10.0779482,4.301847821,6.593870195,3.674775065,3.225307723,11.12550451,4.002051031,3.303415563,3.465173778,2.940547897,,7.388328177,7.839423443,3.863302159
DATA.684052,5.731324158,6.284503025,3.379688978,5.174997287,4.040525343,8.160627627,4.05283255,3.44304526,6.273695656,,,2.91118264,3.389033535,11.63050889,4.274141535,7.488236172,3.229837378,3.141797637,3.925542321,3.000026582,4.798246111,5.954614438,7.585454287,,4.476014152,3.310152787,5.71479281,2.955821808,4.033669816,3.378743537,7.135291287,4.385524166,6.83463185,8.842936644,3.252848522,3.157453658,4.523092372,,6.29111141,,5.86629756,3.419402218,4.505755537,3.156568054,8.180277232,,6.450745956,3.561130375,5.252118299,2.972466301,4.301912533,3.973963657,3.376132525,3.038036316,3.124179033,7.048835405,5.222529836,3.382908756,5.372045352,7.165526677,4.449388036,3.72703372,4.040261937,5.583840221,3.023639493,4.302671107,3.243051749,4.130269682,6.086993211,8.71566495,5.459136135,3.113790018,,,3.325440427,7.202491881,3.926300155,5.291244157,3.766047924,3.60679173,7.497472472,,3.177728809,10.14627773,5.112516368,5.994656913,6.199037769,3.157890291,3.461299352,3.633118119,3.32638858,3.162836586,5.845477414,,6.239267616,8.331263533,5.77828669
DATA.684057,3.400204076,3.814231332,3.408642532,5.928332425,3.855791642,3.099628296,5.216795199,3.090152738,3.14145438,8.616495342,7.161064374,6.117646715,5.081323988,9.510553337,4.026283932,7.411204196,3.133157461,3.230034659,,5.380810541,4.354245224,,6.041030297,5.486919155,2.98538681,3.979345156,4.544336535,2.95106514,4.067989619,3.858137791,7.328019265,4.420175332,6.574870396,,5.003317123,3.369009649,4.470574558,8.369266504,3.89828066,3.300556806,5.876650854,3.484224339,4.767549386,4.044459068,6.687177551,5.976877471,7.893076136,4.121531293,,3.31905316,3.937908111,4.349996249,3.91372529,3.04212624,3.048394722,7.123810094,4.077680265,3.206011759,3.558220048,6.497522295,3.137700895,3.224547071,3.046858008,5.236740655,,4.592727342,3.462664963,4.106549524,5.302701142,2.776968035,6.229618142,3.675586176,5.849991643,7.524565283,4.895036639,3.697764092,4.482929267,4.876562267,4.169245952,3.630909394,,5.364999243,,8.574782665,3.395050507,,5.339324441,3.225776185,6.130206244,3.097069826,,3.533217571,,6.719385774,,5.435906929,5.380972376
DATA.684059,3.116570973,6.924343931,3.613688927,7.399722376,3.817450841,3.249192543,5.59652969,3.444332485,3.546425041,12.58315755,9.49462933,2.968814635,3.869159282,10.05720679,4.065700753,7.300267413,3.196230878,3.243969103,3.402485041,,5.049676155,5.405203493,8.129389559,9.354057655,6.315072566,3.33334342,6.187161297,,4.406235695,4.163698904,6.989924929,3.883476545,6.398749407,8.996104023,6.327024241,3.545293781,3.09833695,8.63479627,,9.260022066,4.917686996,4.090600983,4.611305754,4.956047928,,,5.589794932,4.429142802,6.105611562,3.230697912,4.325045631,,3.425956428,5.499082798,3.397217592,8.171715841,3.382089468,3.513583346,4.953742872,8.685346969,2.889382082,6.787346308,4.953607785,4.794183674,3.106121239,7.083640285,,4.157313047,,3.848923428,7.178794056,3.266717927,5.468395965,4.258670473,4.498352003,8.334481562,7.060351733,6.54318342,3.604491709,,3.253467239,7.068656687,7.998304014,9.724407127,3.80406188,7.817040782,4.352756552,6.414534737,7.177157342,2.872240943,4.367481791,3.335936505,8.682203966,3.114507678,6.768263792,7.547462461,5.933777607
DATA.684062,2.869578233,6.785760513,5.06276277,8.051685545,,5.350076754,3.468910462,3.261804561,,7.404163592,8.171140341,3.09932398,6.197369373,10.34633133,3.928419668,5.9087509,3.327274103,3.115806326,6.049671045,6.150289969,3.364185911,5.494048083,,6.263582275,3.15394716,3.391657887,4.229899831,5.131321303,5.031374464,3.905846047,7.665137921,3.547592886,6.850780085,7.896500645,4.433976544,3.162761612,2.972546255,9.748268843,5.560589231,2.942697249,4.552168185,3.439701753,4.16484108,3.807253598,6.49352157,6.266864283,,3.457956775,6.514732785,3.000854461,4.77685881,4.284991441,3.174831588,3.023304952,3.236144191,7.275109206,3.254025259,3.117876422,5.592819285,7.852089646,3.266439245,3.697896139,3.133596365,6.515696776,3.699050394,3.418222992,,3.862067288,3.927535019,4.93017266,4.585608497,3.538388319,,3.414321794,4.097289828,5.125004226,3.797006926,4.56059284,3.920402978,3.537459771,,5.868871155,3.422984399,9.603539762,,7.682310932,6.210675187,3.426234305,4.21762674,2.886278203,3.450248264,3.081175332,5.855542563,2.70067723,4.492067199,7.321602808,5.221039007
DATA.684072,2.983284416,5.256705874,3.324307306,5.166286189,3.852647409,5.851865288,,2.966969794,4.762274824,,8.23152309,3.319152466,3.635115817,10.85951321,4.576358475,7.213677204,3.168775734,3.190247654,,2.884943507,3.590902671,6.050286596,,,3.008828927,3.87612099,4.210779406,2.955227946,,5.033195305,7.996830889,4.027100561,6.590346155,,5.267170126,3.087706778,4.010564826,8.884179193,2.860690989,2.851003869,6.660164588,3.338345823,4.558998603,3.26525232,7.305032819,6.486573148,7.316733282,3.84216647,6.096462424,3.17913858,,3.968985744,3.196132791,3.037911498,3.407795786,7.245698845,3.265541513,3.374281835,4.308153556,5.841007116,3.804536035,3.362252403,2.951529932,5.797429619,3.720011323,,3.468145131,3.979154558,5.192210075,2.91427896,5.118890378,,5.232483502,7.044468844,4.890086744,5.562056338,3.549322908,5.312963409,4.496347428,4.567524381,3.78332233,4.055826921,3.24312166,9.035304875,4.944521747,7.801000621,5.02550336,,3.579868893,2.799203635,5.306658072,3.044205019,5.953838464,,4.707400656,6.859359894,5.481166803
DATA.687448,3.364402401,4.551958864,7.138272161,5.764436114,3.95601964,3.702232987,10.12999481,3.897003708,3.042718187,4.878063442,10.58999958,3.092306257,4.822803784,7.144674045,4.706922913,7.959451807,3.565046818,3.456299398,6.356791653,3.290001545,4.810508669,4.790931429,8.15095111,7.27393794,3.502701462,3.252816608,3.372525026,,3.704216655,4.951422416,8.067779461,3.474949876,5.124165522,8.851655559,3.974553949,6.178392284,,9.806106169,6.000090998,10.10923379,3.49710555,8.545238469,9.021454364,3.098442922,4.951594364,4.58467849,5.838292008,3.500227456,6.289189878,,6.57115687,7.688932195,5.849373167,3.244797759,4.194360614,6.510685214,3.933166866,4.405377008,3.121265962,6.237658608,3.059835377,5.522059668,,3.611358118,4.498075427,4.693166935,3.56061388,,4.000229078,7.034090112,8.321984845,3.404769345,3.253430019,3.627887493,3.758553135,3.406136122,8.115544207,5.550621087,3.368364848,4.009337576,4.89531197,7.363055573,5.412920254,9.050981875,,8.418715583,4.894513322,4.402995372,11.73278783,5.711178733,3.418758662,4.318690693,,8.176845678,9.230698071,7.598935084,4.217080144
DATA.687452,3.660059278,5.709990547,3.070221339,5.087681551,3.472592311,,6.048401502,4.490748685,4.015592927,10.34370956,6.069392928,7.066027662,3.35092125,9.725636951,3.789068717,3.978260296,3.052848145,8.707272082,,6.718603521,6.813454538,4.309578061,5.506396096,6.347306909,,3.889296706,3.494535785,8.331067162,3.653799932,5.975438805,5.535536893,7.841522437,6.036509767,10.0880733,5.887076411,3.690229827,6.141011497,9.013661822,6.343017022,2.826796314,8.429444792,3.338374305,3.735239907,4.272252501,,3.15095838,4.797572945,4.91864173,4.971441819,7.332629158,9.083631079,4.752243301,6.621816728,6.050549782,5.751517337,6.097678544,4.395643802,4.116116203,3.537386895,7.478639467,3.15974335,4.093436773,5.347898551,4.955690701,,3.825373744,4.669207403,7.628943521,3.435702504,3.615472426,4.098877534,5.640355805,3.486053948,3.77495919,3.584812847,3.117447694,8.298268045,4.224692014,3.202402136,3.840186779,3.061913228,3.247040418,3.04710873,8.510246412,3.443061388,7.261620358,3.759211573,5.256995803,7.230605308,,5.976986333,,9.352345741,9.799508426,5.550430795,9.012114618,
DATA.687455,2.903115796,5.172906956,3.882289404,8.312197384,3.496632478,3.4820386,5.630651875,4.406198619,3.536932647,9.909604334,10.49466854,8.88618897,3.122055785,6.698863607,3.864586437,3.095859365,3.228524408,7.54883697,3.406510263,7.808217384,4.615706088,4.40628239,3.898278849,7.610294572,3.288013649,3.70771128,3.095595659,,4.035348638,6.082290035,4.908531941,4.689594549,3.165405171,9.690358872,6.426440074,4.662095897,9.813645201,,4.625112276,8.872610274,5.244098471,4.448466449,4.095982521,3.335670005,,3.188692533,5.99207918,5.132167686,5.674016321,3.631875803,8.345766144,3.73246529,3.805699382,9.013999137,4.195035918,6.398720537,3.694898016,2.918536345,4.064169841,6.388922571,4.019556637,3.533036158,6.467645663,5.962608982,3.417330424,3.519570545,4.615282302,5.555052753,3.18708258,7.223853105,,5.505043349,3.216675506,3.459603004,3.027615874,5.568920166,8.165221804,4.626595065,3.523482614,6.795400984,3.004192308,7.713657089,3.118373793,8.47712701,4.712721204,7.777907612,6.966080271,5.396624526,3.911981202,3.632341365,6.038426024,3.247469917,,8.954672611,7.819134316,,4.556336473
