,Marital status,Application mode,Application order,Course,Daytime_evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP
0,1,17,5,171,1,1,122,1,19,12,5,9,127.3,1,,0,1,1,0,20,0,0,0,,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74
1,1,15,1,,1,1,160,1,1,3,3,3,142.5,1,0,0,0,1,0,19,0,0,6,6,,14,0,0,6,6,6,,0,13.9,-0.3,0.79
2,1,1,5,9070,1,1,,1,37,37,9,9,124.8,1,0,0,0,1,0,19,0,0,6,0,0,0,0,0,6,0,0,0,0,10.8,1.4,1.74
3,1,,2,9773,1,1,122,1,38,37,5,3,119.6,1,0,0,1,0,0,20,0,0,6,8,6,13.42857143,,0,6,10,5,12.4,0,9.4,-0.8,-3.12
4,2,39,1,8014,,1,100,1,37,38,9,9,141.5,0,0,0,1,0,0,45,0,0,6,9,5,12.33333333,,0,6,6,6,13,0,,-0.3,0.79
5,2,39,1,9991,0,19,133.1,1,37,37,9,7,114.8,0,0,1,1,1,0,50,,0,5,10,5,11.85714286,,0,,17,5,11.5,5,16.2,0.3,-0.92
6,1,1,1,9500,1,1,142,1,19,38,7,10,128.4,1,0,0,1,0,1,18,0,0,7,9,7,13.3,0,0,,8,,14.345,0,15.5,2.8,-4.06
7,1,18,4,9254,1,1,119,1,37,,9,9,113.1,1,0,0,0,1,,22,,0,5,5,0,0,0,0,5,5,0,0,0,15.5,2.8,-4.06
8,1,1,3,9238,1,1,137,,1,1,9,9,129.3,0,0,0,,,1,21,1,0,6,8,6,13.875,0,0,6,7,6,14.14285714,0,16.2,0.3,-0.92
9,1,1,1,9238,1,,138,1,1,19,4,7,123,1,0,1,0,0,0,18,0,0,6,,5,11.4,0,0,6,14,,13.5,0,8.9,1.4,3.51
10,1,1,1,9670,1,1,139,1,38,19,5,7,,1,0,0,1,,0,,0,0,6,6,6,12.33333333,0,0,6,7,5,14.2,0,13.9,-0.3,
11,1,1,1,9500,1,1,136,1,19,38,9,9,119.3,1,0,0,,0,1,18,0,0,8,8,7,13.21428571,0,0,8,8,7,13.21428571,0,12.7,3.7,
12,1,1,2,9853,1,1,133,1,19,37,,9,130.2,1,0,0,1,0,0,19,0,,6,6,0,0,0,0,6,0,0,0,0,12.7,3.7,-1.7
13,1,53,1,9254,1,42,110,1,1,1,,7,111.8,,0,0,1,0,1,,0,0,6,,,10.57142857,0,,6,8,5,11,0,8.9,1.4,3.51
14,1,1,1,9085,1,1,149,1,38,37,5,5,137.1,1,0,0,1,0,1,18,0,0,5,7,4,13.25,0,0,5,,5,12,0,10.8,1.4,
15,1,1,1,9773,1,1,127,1,19,37,9,3,120.7,1,0,0,1,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,,0,15.5,2.8,
17,1,17,2,9500,1,1,135,1,19,,5,4,127.3,1,,0,1,0,0,18,0,0,,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06
18,1,1,1,9130,1,1,137,,3,19,3,5,136.3,1,0,0,1,0,0,20,0,0,5,8,4,12.5,1,,5,8,4,12.25,2,10.8,1.4,1.74
