sl,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Y
0,0.30471707975443135,-1.039984106,,0.9405647163912139,-1.951035189,-1.302179507,0.12784040316728537,-0.316242592,-0.016801158,,-0.038997938
1,0.8793979748628286,0.7777919354289483,,,0.4675093422520456,-0.859292463,,-0.958882601,0.8784503013072725,,2.167417426576415
2,-0.184862364,,1.2225413386740303,,-0.428327822,,0.5323091855533487,0.36544406436407834,,0.43082100300788273,-1.997597752
3,,-0.406415016,,-0.813772728,,1.1289722927208916,-0.113947458,-0.840156477,,0.6505927878247011,1.6531419302906039
4,,,-0.665509707,0.23216132306671977,,,0.8714287779481898,0.22359554877468227,0.6789135630718949,0.067579069,1.843984601
5,0.28911939868998415,0.6312882258385404,-1.45715582,-0.319671216,-0.470372654,-0.638877848,,1.4949413112343959,-0.865831116,,0.6703636599518484
6,-1.682869772,,0.1627530651050056,0.5862223313592781,,,-0.348725072,-0.462351793,0.8579758812571538,-0.191304325,-0.382978475
7,,,-0.919452286,0.49716074405376404,,0.6904853540677682,-0.427252646,,0.6255903939673367,,-3.418253289
8,,,-0.363053847,-0.381737894,,0.4869724807855818,-0.46940234,0.012494119,,,-1.564189501
9,,-0.098485485,,-0.079718211,-1.687334434,-1.447112472,,,,-0.905479055,1.3858288833407921
10,,,-0.356263971,0.7375155684670865,-0.93361768,-0.205437558,-0.950022055,-0.339033076,,-1.727320423,1.1372588097864178
11,0.43442364354585733,,-0.594149956,-1.446057854,,,0.23267621135470395,,1.6017788913209154,,0.36004143788016296
12,,,,1.3591875752404365,0.8351112459145785,0.35687105914950934,1.4633028912195618,-1.188763054,,,-0.533465275
13,,-1.376686148,0.6351509468144043,-0.222222697,-1.470806295,-1.015579081,,0.8381265678943811,,2.9138624660073296,-0.332945899
14,,-0.98953812,-2.132046281,0.2677114623438358,-0.812941095,,-0.612096799,,,,-0.894222833
15,,-1.035653753,-1.674682945,-0.486307909,,,0.13027452147288585,,,,-1.383310089
