sl,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Y
0,0.7656489025899215,-0.496634015,-2.05072309,-0.006230592,0.5266867206150141,-0.512820865,-0.293865306,-0.696394042,0.46715145648789325,-1.145886941,-1.720515912
1,1.4455082946930022,0.5666587329380244,0.1288578150312742,-0.118880146,,,,0.1419855717529465,0.6770981878515228,,0.6975416287292677
2,0.8621490592234069,-0.216589718,0.3410058724963442,0.1504093628082403,-1.775317467,-0.524042957,0.6516976032953781,-1.990957906,-1.335775592,,-0.029565913
3,,0.03068139,-1.453510631,-0.237178858,0.21944780046851367,0.034639042,-0.984964406,,-1.013192318,-0.770194908,0.6321364569714699
4,1.6548791885170369,-1.373456195,,,-1.138252789,0.6414128301681521,1.2496164741482245,,,-0.165084455,3.0755720042843437
5,0.4893866380839506,-1.911060034,0.12460748032022317,-1.908102355,-0.498071818,1.086008000376617,1.0554725288654385,0.22694695868090373,,-0.407239817,1.6654738623743035
6,-0.714292309,-0.002336124,1.3335441361151898,,,,,-0.817771935,,-0.785768099,0.19718958755487825
7,0.41792779970234234,,,,,-0.182113045,1.2276567838238053,-0.89108059,0.3971479436159894,-0.90608634,-0.496015658
8,,,,-0.393736257,,1.0788414566942062,,,,-0.01214128,2.5531218511453355
9,-0.967059549,-0.155502045,-0.511562733,-1.145431199,,-0.031806392,,0.9304174938148848,1.141168931092141,0.9274350103183255,-1.891667312
10,,1.3838142568587277,1.3813930746218133,,0.5287611347489701,,0.3441354285511684,0.4411186445502295,,-0.236656575,-2.285506753
11,1.0922097527097374,1.6518325033057384,,,,-0.9130073,,,-1.106718184,0.4543056337938456,1.4273958801633606
12,,-0.688417209,,,0.29878159479044486,-0.625670826,,-0.27542729,1.0666772884621427,1.0310750281763077,-0.254051897
13,-0.005083591,-0.830613402,,,0.37563025095946695,,,,0.9959233768619289,-0.035541127,-0.659343615
14,-0.005199275,-1.130012662,0.17017679676827724,,-1.632184125,0.4488419442419999,-2.192309062,,,0.20696172207949284,0.40793917122979234
15,,0.5197099,,0.9586367057911308,0.9759835142504898,-1.344861858,,0.6673918309207723,-2.757715466,-0.617476257,1.4164542809093548
16,0.062287347,,,0.837482269,-0.110181071,,,-2.076561492,-0.348428844,-0.487126576,1.626748884323722
17,-0.128110925,-0.39845171,-0.139845594,,,,0.6316268564625785,-0.896850845,0.19929090534496377,-0.786731165,0.7220157240182992
18,,-0.15730386,0.04588905,-0.317568978,-0.258766598,0.339748102,1.9832014135417813,-0.63245304,0.5403932306006687,1.0605296621407414,-2.20113975
19,,,0.20274736733020865,-0.324403836,1.3989383624020493,-0.129504186,0.25638928622189433,,-1.403453007,-0.985819998,0.21507642601821758
20,-0.879925329,-0.17171398,0.4412036479567265,0.6426292090519651,-1.124139067,-1.401727395,1.0434689729460433,,-0.244811977,0.2383905104393452,-1.581299998
21,-2.671685074,,,-1.919143119,,,0.29903865544131125,-0.814411672,,1.1426166502615134,-2.567178155
22,0.3006901160387965,0.03718193,0.7505559534142008,-0.317229186,,,0.4618044055915026,-0.841326658,-0.042501345,1.1091013891052879,0.44200300773706247
23,1.653761527,0.21197871772655036,0.042553924835799464,,0.7207181665773426,-0.179345301,-0.156515006,-2.989681008,0.5936192741158506,,1.4536193762778125
24,,-0.146481452,-0.428201809,1.1285577582975599,-1.701070088,0.16612313285201402,,-1.253280053,0.10386129022688158,,0.7708265466554877
25,,0.4906831570240194,,-1.171187695,1.069240509,0.029466608365734625,1.2839198625727528,0.9580928319277154,-0.084594621,-0.623046194,1.2437105419619188
26,-1.167431288,-1.961349496,-0.216672472,,,1.0223717048546503,0.5136520285401116,,-0.022512473,1.9605794038914586,-0.02057946
27,,,,0.6438365007008265,-0.682143701,1.786415351740105,-1.362080814,-0.125767487,0.4975116030242007,0.38435468368815984,0.3182631573016702
28,1.070600769437986,0.4287015831751343,-0.563813348,-0.414817576,-0.517287713,-1.612282124,-0.014775218,,,-0.063759482,-0.716984826
